,q,sample,Kq,angle/90,h/lo,D/lo,d/lo,liquid,a/a_smooth_Kut,Pr,P,a/a_smooth_Lab,a/a_smooth_Bor
219,317309.07216,30,1994.82118351621,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.47774696864016,1.75,101325,1.57195350412196,1.30449059956957
220,403845.36082,30,2538.84729845439,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.38881344019295,1.75,101325,1.48927403129692,1.23587877689491
221,494156.70103,30,3106.60596143962,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.33214452551286,1.75,101325,1.43814840313373,1.19345201226027
222,402515.46392,30,2530.48665975612,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.37509908421135,1.75,101325,1.47440551904735,1.22354009486119
223,299051.54639,30,1880.04192770526,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.42244804555081,1.75,101325,1.51014326702651,1.25319717833494
224,225731.95876,30,1419.10500719626,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.42204080097144,1.75,101325,1.49562263195596,1.24114718328125
225,172688.65979,30,1085.63866251014,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.45612961912632,1.75,101325,1.51786227089185,1.25960281816715
226,108281.4433,30,680.730983851709,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.59731869173465,1.75,101325,1.63933197950112,1.36040484099909
227,77719.58763,30,488.598320631352,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.64969730013753,1.75,101325,1.67447557086355,1.38956886172056
228,44001.85567,30,276.625667230462,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.86862371679608,1.75,101325,1.86106307498267,1.54440909362455
229,21007.29897,30,132.066205067984,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,2.28267453255492,1.75,101325,2.21809360688015,1.84069201255207
230,85237.52577,30,535.861205855366,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.55880237399946,1.75,101325,1.58709268175791,1.31705389413237
231,180456.90722,30,1134.47516260348,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.42342923764613,1.75,101325,1.48595344040522,1.23312317401488
232,247310.72165,30,1554.76382411575,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.43014723270929,1.75,101325,1.50873298151991,1.25202684843571
233,325890.35052,30,2048.76895039741,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.36347700597185,1.75,101325,1.45168950702658,1.20468914026037
234,406169.07216,30,2553.45573235089,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.29265026924995,1.75,101325,1.38641997019421,1.1505250081707
235,501773.19588,30,3154.48844134319,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.30656862995898,1.75,101325,1.4112566826891,1.17113583278405
236,604521.4433,30,3800.4339831058,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.2996293123444,1.75,101325,1.41250531639682,1.17217201542543
237,656597.93814,30,4127.82233781922,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.2938690372551,1.75,101325,1.41012357504085,1.17019551980942
238,726160.06186,30,4565.13727817826,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.27834718846112,1.75,101325,1.3978914072257,1.16004461656363
239,837319.58763,30,5263.96185084538,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.26442883784703,1.75,101325,1.38925180584578,1.15287501596502
240,917371.13402,30,5767.22045427882,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.20518753171059,1.75,101325,1.32819854991233,1.10220977794783
241,980580.41237,30,6164.59707697989,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.19345621942863,1.75,101325,1.31819441888409,1.09390781809406
242,1025460.0,30,6446.74076578893,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.18187389454827,1.75,101325,1.30735028784291,1.08490878156619
243,1100720.0,30,6919.87644151814,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.16715863352372,1.75,101325,1.29412427836521,1.07393313566557
244,1176080.0,30,7393.64078543195,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.14013920155553,1.75,101325,1.26695924000948,1.05139014245421
245,1240000.0,30,7795.48548902763,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.13436895096214,1.75,101325,1.26277290971075,1.04791610298226
246,1337010.0,30,8405.35649490713,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.1543188216442,1.75,101325,1.28821139064897,1.06902630704632
247,1426600.0,30,8968.58032148937,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.15323097367397,1.75,101325,1.28978278176199,1.07033033094386
248,1525530.0,30,9590.52175651317,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.26620239144668,1.75,101325,1.41929941542927,1.17781012004948
249,26964.89,24,169.519684442118,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,2.52062828500393,1.75,101325,2.4697839451078,2.04955803776179
250,36010.0,24,226.383413274101,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,2.39412773728632,1.75,101325,2.36856309571737,1.96555959495543
251,50235.0,24,315.811462533309,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,2.21655636144423,1.75,101325,2.21735822783872,1.84008175592288
252,62520.89,24,393.048944158139,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,2.08533975849114,1.75,101325,2.10136356505486,1.74382321722882
253,78554.67,24,493.848217806737,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,1.8763501607546,1.75,101325,1.90521134279955,1.58104567365277
